<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140313,002100,1.3905,1.3907,1.3905,1.3906,4
EURUSD,20140313,002200,1.3907,1.3907,1.3906,1.3907,4
EURUSD,20140313,002300,1.3906,1.3909,1.3906,1.3908,4
EURUSD,20140313,002400,1.3907,1.3907,1.3904,1.3904,4
EURUSD,20140313,002500,1.3905,1.3905,1.3903,1.3904,4
EURUSD,20140313,002600,1.3904,1.3904,1.3902,1.3902,4
EURUSD,20140313,002700,1.3903,1.3903,1.3902,1.3902,4
EURUSD,20140313,002800,1.3902,1.3904,1.3902,1.3903,4
EURUSD,20140313,002900,1.3903,1.3904,1.3903,1.3904,4
EURUSD,20140313,003000,1.3905,1.3906,1.3904,1.3906,4
EURUSD,20140313,003100,1.3906,1.3908,1.3906,1.3908,4
EURUSD,20140313,003200,1.3907,1.3907,1.3905,1.3905,4
EURUSD,20140313,003300,1.3906,1.3906,1.3905,1.3906,4
EURUSD,20140313,003400,1.3906,1.3907,1.3906,1.3907,4
EURUSD,20140313,003500,1.3907,1.3907,1.3906,1.3906,4
EURUSD,20140313,003600,1.3905,1.3905,1.3905,1.3905,4
EURUSD,20140313,003700,1.3905,1.3908,1.3905,1.3908,4
EURUSD,20140313,003800,1.3907,1.3908,1.3907,1.3908,4
EURUSD,20140313,003900,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,004000,1.3907,1.3908,1.3907,1.3908,4
EURUSD,20140313,004100,1.3909,1.3910,1.3909,1.3910,4
EURUSD,20140313,004200,1.3910,1.3912,1.3910,1.3911,4
EURUSD,20140313,004300,1.3912,1.3912,1.3909,1.3910,4
EURUSD,20140313,004400,1.3909,1.3909,1.3908,1.3908,4
EURUSD,20140313,004500,1.3908,1.3908,1.3907,1.3908,4
EURUSD,20140313,004600,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,004700,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,004800,1.3906,1.3906,1.3905,1.3906,4
EURUSD,20140313,004900,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,005000,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,005100,1.3906,1.3907,1.3906,1.3907,4
EURUSD,20140313,005200,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,005300,1.3907,1.3909,1.3907,1.3907,4
EURUSD,20140313,005400,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,005500,1.3907,1.3907,1.3906,1.3906,4
EURUSD,20140313,005600,1.3906,1.3907,1.3906,1.3907,4
EURUSD,20140313,005700,1.3907,1.3909,1.3907,1.3909,4
EURUSD,20140313,005800,1.3908,1.3908,1.3908,1.3908,4
EURUSD,20140313,005900,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,010000,1.3907,1.3909,1.3907,1.3908,4
EURUSD,20140313,010100,1.3908,1.3909,1.3908,1.3909,4
EURUSD,20140313,010200,1.3909,1.3911,1.3909,1.3910,4
EURUSD,20140313,010300,1.3909,1.3910,1.3909,1.3910,4
EURUSD,20140313,010400,1.3910,1.3910,1.3909,1.3909,4
EURUSD,20140313,010500,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,010600,1.3907,1.3909,1.3907,1.3909,4
EURUSD,20140313,010700,1.3910,1.3910,1.3909,1.3909,4
EURUSD,20140313,010800,1.3910,1.3910,1.3909,1.3909,4
EURUSD,20140313,010900,1.3909,1.3910,1.3909,1.3910,4
EURUSD,20140313,011000,1.3911,1.3912,1.3911,1.3912,4
EURUSD,20140313,011100,1.3911,1.3912,1.3909,1.3911,4
EURUSD,20140313,011200,1.3911,1.3911,1.3910,1.3910,4
EURUSD,20140313,011300,1.3910,1.3910,1.3910,1.3910,4
EURUSD,20140313,011400,1.3910,1.3911,1.3908,1.3909,4
EURUSD,20140313,011500,1.3908,1.3908,1.3908,1.3908,4
EURUSD,20140313,011600,1.3908,1.3908,1.3908,1.3908,4
EURUSD,20140313,011700,1.3909,1.3910,1.3909,1.3909,4
EURUSD,20140313,011800,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,011900,1.3909,1.3910,1.3909,1.3910,4
EURUSD,20140313,012000,1.3910,1.3910,1.3909,1.3909,4
EURUSD,20140313,012100,1.3909,1.3909,1.3908,1.3908,4
EURUSD,20140313,012200,1.3909,1.3910,1.3909,1.3909,4
EURUSD,20140313,012300,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,012400,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,012500,1.3909,1.3910,1.3909,1.3910,4
EURUSD,20140313,012600,1.3910,1.3911,1.3910,1.3910,4
EURUSD,20140313,012700,1.3910,1.3910,1.3909,1.3909,4
EURUSD,20140313,012800,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,012900,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,013000,1.3909,1.3909,1.3908,1.3908,4
EURUSD,20140313,013100,1.3908,1.3909,1.3908,1.3909,4
EURUSD,20140313,013200,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,013300,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,013400,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,013500,1.3908,1.3908,1.3908,1.3908,4
EURUSD,20140313,013600,1.3909,1.3909,1.3908,1.3909,4
